Date;Open;High;Low;Close;Volume
2024.05.31 15:15;2343.99;2344.5;2343.2;2343.9;339
2024.05.31 15:20;2343.7;2345.1;2343.31;2344.22;388
2024.05.31 15:25;2344.22;2344.4;2342.55;2342.96;358
2024.05.31 15:30;2343.04;2350.02;2342.34;2349.46;567
2024.05.31 15:35;2349.35;2349.93;2345.52;2348.17;525
2024.05.31 15:40;2348.2;2352.46;2346.34;2352.46;629
2024.05.31 15:45;2352.5;2352.75;2350.32;2351.97;1225
2024.05.31 15:50;2351.99;2355.75;2351.66;2355.52;712
2024.05.31 15:55;2355.57;2356.8;2354.8;2354.85;503
2024.05.31 16:00;2354.85;2359.8;2354.85;2359.15;540
2024.05.31 16:05;2359.28;2359.61;2354.51;2354.52;515
2024.05.31 16:10;2354.47;2356.38;2353.89;2354.71;471
2024.05.31 16:15;2354.79;2357.21;2354.68;2354.76;478
2024.05.31 16:20;2354.75;2355.21;2353.0;2354.76;470
2024.05.31 16:25;2354.84;2355.16;2353.0;2354.11;430
2024.05.31 16:30;2354.11;2354.11;2350.29;2351.22;535
2024.05.31 16:35;2351.27;2353.46;2350.36;2351.29;486
2024.05.31 16:40;2351.3;2354.17;2350.95;2352.87;426
2024.05.31 16:45;2352.95;2356.07;2351.87;2355.26;514
2024.05.31 16:50;2355.17;2355.45;2345.91;2346.34;554
2024.05.31 16:55;2346.01;2348.17;2343.45;2348.17;548
2024.05.31 17:00;2348.35;2349.11;2345.1;2345.85;534
2024.05.31 17:05;2345.74;2346.74;2343.79;2345.95;522
2024.05.31 17:10;2345.99;2345.99;2337.55;2337.94;646
2024.05.31 17:15;2337.94;2342.84;2337.54;2342.33;914
2024.05.31 17:20;2342.31;2343.97;2339.82;2339.82;1304
2024.05.31 17:25;2339.85;2343.26;2339.63;2342.12;649
2024.05.31 17:30;2341.89;2341.89;2337.21;2339.18;522
2024.05.31 17:35;2339.25;2341.39;2337.81;2339.47;542
2024.05.31 17:40;2339.42;2339.62;2334.78;2335.87;1119
2024.05.31 17:45;2336.01;2338.07;2334.98;2336.18;1248
2024.05.31 17:50;2336.18;2337.73;2335.54;2336.51;514
2024.05.31 17:55;2336.42;2337.46;2334.21;2335.32;537
2024.05.31 18:00;2335.1;2335.6;2332.87;2335.12;537
2024.05.31 18:05;2335.05;2336.16;2332.04;2333.68;522
2024.05.31 18:10;2333.67;2334.64;2329.53;2331.72;522
2024.05.31 18:15;2331.75;2332.82;2330.16;2330.29;526
2024.05.31 18:20;2330.32;2330.5;2327.78;2329.47;519
2024.05.31 18:25;2329.4;2331.85;2328.08;2331.13;534
2024.05.31 18:30;2331.23;2331.74;2328.45;2329.56;489
2024.05.31 18:35;2329.46;2329.84;2327.82;2328.96;503
2024.05.31 18:40;2329.0;2332.76;2328.96;2330.9;475
2024.05.31 18:45;2330.88;2333.42;2330.61;2332.69;436
2024.05.31 18:50;2332.81;2333.89;2332.21;2332.55;464
2024.05.31 18:55;2332.55;2332.55;2329.93;2330.1;463
2024.05.31 19:00;2330.02;2333.32;2329.75;2332.83;483
2024.05.31 19:05;2332.64;2333.02;2331.03;2331.42;536
2024.05.31 19:10;2331.42;2333.56;2330.85;2333.33;963
2024.05.31 19:15;2333.36;2336.09;2333.03;2335.47;673
2024.05.31 19:20;2335.49;2335.68;2332.13;2332.22;418
2024.05.31 19:25;2332.23;2333.85;2331.18;2333.61;366
2024.05.31 19:30;2333.61;2334.31;2333.13;2333.15;359
2024.05.31 19:35;2333.14;2334.4;2333.06;2334.04;362
2024.05.31 19:40;2334.04;2336.05;2334.04;2335.35;370
2024.05.31 19:45;2335.35;2336.74;2335.0;2335.0;379
2024.05.31 19:50;2334.99;2336.2;2334.02;2334.05;341
2024.05.31 19:55;2334.03;2334.15;2332.3;2332.91;382
2024.05.31 20:00;2332.91;2333.05;2331.2;2331.53;388
2024.05.31 20:05;2331.6;2333.81;2331.51;2332.48;368
2024.05.31 20:10;2332.48;2332.97;2331.07;2332.8;352
2024.05.31 20:15;2332.81;2332.84;2330.5;2330.56;355
2024.05.31 20:20;2330.57;2330.84;2327.2;2327.46;413
2024.05.31 20:25;2327.35;2327.94;2324.12;2325.28;492
2024.05.31 20:30;2325.17;2325.98;2323.97;2324.36;426
2024.05.31 20:35;2324.34;2326.22;2324.28;2326.2;358
2024.05.31 20:40;2326.2;2326.55;2325.0;2325.5;339
2024.05.31 20:45;2325.5;2327.33;2325.35;2326.55;364
2024.05.31 20:50;2326.56;2327.58;2325.63;2325.94;319
2024.05.31 20:55;2325.94;2326.45;2325.75;2326.0;306
2024.05.31 21:00;2326.0;2327.22;2325.02;2327.0;325
2024.05.31 21:05;2327.08;2327.23;2325.54;2325.57;281
2024.05.31 21:10;2325.59;2326.58;2325.3;2325.69;265
2024.05.31 21:15;2325.82;2325.94;2324.45;2325.46;268
2024.05.31 21:20;2325.52;2326.06;2325.31;2325.47;252
2024.05.31 21:25;2325.55;2327.07;2325.45;2326.05;307
2024.05.31 21:30;2326.05;2326.8;2325.84;2326.01;247
2024.05.31 21:35;2326.01;2326.5;2324.36;2324.38;245
2024.05.31 21:40;2324.38;2324.93;2324.11;2324.88;254
2024.05.31 21:45;2324.8;2325.04;2323.9;2324.11;224
2024.05.31 21:50;2324.11;2324.23;2322.42;2323.12;302
